indel_size	fq
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	9
-120	0
-119	0
-118	0
-117	0
-116	0
-115	0
-114	1
-113	0
-112	0
-111	0
-110	0
-109	0
-108	0
-107	0
-106	0
-105	0
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	4
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	21
-88	4
-87	0
-86	0
-85	0
-84	0
-83	0
-82	6
-81	13
-80	0
-79	0
-78	0
-77	0
-76	0
-75	8
-74	0
-73	4
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	11
-54	0
-53	0
-52	0
-51	0
-50	0
-49	13
-48	0
-47	0
-46	0
-45	6
-44	0
-43	7
-42	0
-41	21
-40	4
-39	8
-38	6
-37	26
-36	7
-35	0
-34	6
-33	0
-32	0
-31	13
-30	0
-29	0
-28	0
-27	39
-26	9
-25	0
-24	13
-23	18
-22	31
-21	10
-20	20
-19	11
-18	0
-17	19
-16	187
-15	82
-14	17
-13	43
-12	25
-11	60
-10	62
-9	56
-8	82
-7	164
-6	65
-5	924
-4	354
-3	17
-2	99
-1	109
0	2129
1	834
2	29
3	63
4	19
5	17
6	37
7	14
8	14
9	5
10	11
11	3
12	0
13	4
14	0
15	4
16	5
17	0
18	20
19	9
20	8
21	11
22	0
23	0
24	0
25	4
26	0
27	0
28	0
29	0
30	23
31	2
32	0
33	0
34	0
35	0
36	2
37	0
38	0
39	9
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	8
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	3
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	8
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
