indel_size	fq
-113	0
-112	0
-111	0
-110	0
-109	0
-108	0
-107	0
-106	0
-105	0
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	0
-80	0
-79	0
-78	0
-77	0
-76	0
-75	0
-74	0
-73	0
-72	5
-71	7
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	3
-63	0
-62	0
-61	19
-60	4
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	4
-49	0
-48	9
-47	25
-46	27
-45	0
-44	0
-43	0
-42	0
-41	0
-40	2
-39	0
-38	0
-37	23
-36	26
-35	0
-34	39
-33	25
-32	0
-31	0
-30	0
-29	15
-28	15
-27	129
-26	7
-25	8
-24	0
-23	18
-22	151
-21	32
-20	0
-19	0
-18	79
-17	9
-16	64
-15	62
-14	187
-13	1
-12	21
-11	1
-10	14
-9	706
-8	181
-7	563
-6	70
-5	66
-4	34
-3	163
-2	1707
-1	497
0	2651
1	422
2	46
3	5
4	56
5	3
6	1
7	4
8	5
9	4
10	5
11	8
12	1
13	0
14	0
15	4
16	22
17	0
18	2
19	3
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	6
31	0
32	0
33	0
34	2
35	0
36	0
37	2
38	4
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	3
49	2
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	2
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	4
