# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	1.664170411050091419e-02
56	1.664170411050091419e-02
57	1.664170411050091419e-02
58	1.664170411050091419e-02
59	8.320852055250457791e-02
60	8.320852055250457791e-02
61	8.320852055250457791e-02
62	8.320852055250457791e-02
63	8.320852055250457791e-02
64	8.320852055250457791e-02
65	8.320852055250457791e-02
66	3.827591945415210750e-01
67	4.326843068730237829e-01
68	4.826094192045265463e-01
69	4.992511233150274674e-01
70	4.992511233150274674e-01
71	4.992511233150274674e-01
72	4.992511233150274674e-01
73	4.992511233150274674e-01
74	4.992511233150274674e-01
75	4.992511233150274674e-01
76	4.992511233150274674e-01
77	5.991013479780329387e-01
78	5.991013479780329387e-01
79	5.991013479780329387e-01
80	5.991013479780329387e-01
81	5.991013479780329387e-01
82	5.991013479780329387e-01
83	5.991013479780329387e-01
84	7.322349808620403078e-01
85	7.322349808620403078e-01
86	7.322349808620403078e-01
87	7.322349808620403078e-01
88	7.322349808620403078e-01
89	7.322349808620403078e-01
90	7.322349808620403078e-01
91	7.322349808620403078e-01
92	7.322349808620403078e-01
93	7.322349808620403078e-01
94	7.322349808620403078e-01
95	7.322349808620403078e-01
96	7.322349808620403078e-01
97	7.322349808620403078e-01
98	7.322349808620403078e-01
99	7.322349808620403078e-01
100	7.322349808620403078e-01
101	9.152937260775503292e-01
102	9.152937260775503292e-01
103	9.152937260775503292e-01
104	9.152937260775503292e-01
105	9.152937260775503292e-01
106	9.152937260775503292e-01
107	1.015143950740555745e+00
108	1.015143950740555745e+00
109	1.015143950740555745e+00
110	1.015143950740555745e+00
111	1.131635879514062193e+00
112	1.131635879514062193e+00
113	1.264769512398069562e+00
114	1.397903145282076931e+00
115	1.397903145282076931e+00
116	1.397903145282076931e+00
117	1.497753369945082458e+00
