# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	8.449004224502111582e-02
47	8.449004224502111582e-02
48	8.449004224502111582e-02
49	8.449004224502111582e-02
50	8.449004224502111582e-02
51	8.449004224502111582e-02
52	1.448400724200362144e-01
53	1.448400724200362144e-01
54	1.448400724200362144e-01
55	1.448400724200362144e-01
56	1.448400724200362144e-01
57	1.448400724200362144e-01
58	1.448400724200362144e-01
59	1.448400724200362144e-01
60	1.448400724200362144e-01
61	1.448400724200362144e-01
62	1.448400724200362144e-01
63	1.448400724200362144e-01
64	1.448400724200362144e-01
65	1.448400724200362144e-01
66	1.448400724200362144e-01
67	1.448400724200362144e-01
68	1.448400724200362144e-01
69	1.448400724200362144e-01
70	1.448400724200362144e-01
71	1.448400724200362144e-01
72	1.448400724200362144e-01
73	1.448400724200362144e-01
74	1.448400724200362144e-01
75	3.741701870850935308e-01
76	3.741701870850935308e-01
77	3.741701870850935308e-01
78	3.741701870850935308e-01
79	3.741701870850935308e-01
80	3.741701870850935308e-01
81	3.741701870850935308e-01
82	3.983101991550995757e-01
83	3.983101991550995757e-01
84	1.158720579360289715e+00
85	1.291490645745322796e+00
86	1.291490645745322796e+00
87	1.291490645745322796e+00
88	1.291490645745322796e+00
89	1.291490645745322796e+00
90	1.291490645745322796e+00
91	1.291490645745322796e+00
92	1.412190706095353132e+00
93	1.412190706095353132e+00
94	1.412190706095353132e+00
95	1.412190706095353132e+00
96	1.412190706095353132e+00
97	2.619191309595654715e+00
98	2.691611345805672961e+00
99	2.872661436330718132e+00
100	4.465902232951116879e+00
101	4.900422450211225467e+00
102	5.153892576946288884e+00
103	5.769462884731442642e+00
104	6.421243210621605080e+00
105	6.421243210621605080e+00
106	7.133373566686783462e+00
107	7.169583584791792141e+00
108	7.519613759806880182e+00
109	8.280024140012070433e+00
110	1.227519613759806916e+01
111	1.923958961979480975e+01
112	1.952926976463488273e+01
113	2.335546167773084036e+01
114	4.519010259505130023e+01
115	6.162945081472540920e+01
116	5.073023536511768583e+01
117	2.983705491852746050e+01
118	2.006035003017501595e+01
119	1.940856970428485084e+01
120	1.843089921544960674e+01
121	1.792395896197947991e+01
122	1.605310802655401403e+01
123	7.579963789981895239e+00
124	5.165962582981291185e+00
125	4.828002414001207221e+00
126	4.562462281231140615e+00
127	4.502112251056125558e+00
128	4.224502112251055763e+00
129	4.224502112251055763e+00
130	4.043452021726010592e+00
131	3.379601689800844966e+00
132	3.198551599275799795e+00
133	3.089921544960772426e+00
134	2.812311406155703075e+00
135	2.812311406155703075e+00
136	2.498491249245624601e+00
137	2.498491249245624601e+00
138	2.498491249245624601e+00
139	2.317441158720579431e+00
140	7.604103802051901395e-01
141	7.604103802051901395e-01
142	7.604103802051901395e-01
143	7.604103802051901395e-01
144	7.604103802051901395e-01
145	7.604103802051901395e-01
146	7.604103802051901395e-01
147	7.604103802051901395e-01
148	7.604103802051901395e-01
149	7.604103802051901395e-01
150	7.604103802051901395e-01
151	7.121303560651780495e-01
152	7.121303560651780495e-01
153	7.121303560651780495e-01
154	3.862401931200965532e-01
155	3.862401931200965532e-01
156	3.862401931200965532e-01
157	3.862401931200965532e-01
158	3.862401931200965532e-01
159	3.862401931200965532e-01
160	8.449004224502111582e-02
161	8.449004224502111582e-02
162	8.449004224502111582e-02
163	8.449004224502111582e-02
164	8.449004224502111582e-02
165	8.449004224502111582e-02
166	8.449004224502111582e-02
167	8.449004224502111582e-02
168	8.449004224502111582e-02
169	8.449004224502111582e-02
170	8.449004224502111582e-02
171	4.828002414001206916e-02
172	4.828002414001206916e-02
173	4.828002414001206916e-02
174	4.828002414001206916e-02
175	0.000000000000000000e+00
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
